vgs	Id(M2)	sqrt(Id(M2))
Step Information: Vds=300m  (Run: 1/6)
2.660000000000002e-001	6.197082e-007	7.872155e-004
2.670000000000002e-001	6.348018e-007	7.967445e-004
2.680000000000002e-001	6.502316e-007	8.063694e-004
2.690000000000002e-001	6.660042e-007	8.160908e-004
2.700000000000002e-001	6.821263e-007	8.259094e-004
2.710000000000002e-001	6.986048e-007	8.358258e-004
2.720000000000002e-001	7.154467e-007	8.458408e-004
2.730000000000002e-001	7.326591e-007	8.559551e-004
2.740000000000002e-001	7.502493e-007	8.661693e-004
2.750000000000002e-001	7.682245e-007	8.764842e-004
2.760000000000002e-001	7.865924e-007	8.869004e-004
2.770000000000002e-001	8.053603e-007	8.974187e-004
2.780000000000002e-001	8.245360e-007	9.080397e-004
2.790000000000002e-001	8.441274e-007	9.187641e-004
2.800000000000002e-001	8.641424e-007	9.295926e-004
2.810000000000002e-001	8.845892e-007	9.405260e-004
2.820000000000002e-001	9.054758e-007	9.515649e-004
2.830000000000002e-001	9.268106e-007	9.627100e-004
2.840000000000002e-001	9.486022e-007	9.739621e-004
2.850000000000002e-001	9.708592e-007	9.853219e-004
2.860000000000002e-001	9.935902e-007	9.967900e-004
2.870000000000002e-001	1.016804e-006	1.008367e-003
2.880000000000002e-001	1.040510e-006	1.020054e-003
2.890000000000002e-001	1.064717e-006	1.031851e-003
2.900000000000002e-001	1.089435e-006	1.043760e-003
2.910000000000002e-001	1.114672e-006	1.055780e-003
2.920000000000002e-001	1.140439e-006	1.067913e-003
2.930000000000002e-001	1.166745e-006	1.080160e-003
2.940000000000002e-001	1.193600e-006	1.092520e-003
2.950000000000002e-001	1.221014e-006	1.104995e-003
2.960000000000002e-001	1.248997e-006	1.117585e-003
2.970000000000002e-001	1.277560e-006	1.130292e-003
2.980000000000002e-001	1.306712e-006	1.143115e-003
2.990000000000002e-001	1.336465e-006	1.156056e-003
3.000000000000002e-001	1.366829e-006	1.169115e-003
3.010000000000002e-001	1.397816e-006	1.182293e-003
3.020000000000002e-001	1.429435e-006	1.195590e-003
3.030000000000002e-001	1.461699e-006	1.209008e-003
3.040000000000002e-001	1.494619e-006	1.222546e-003
3.050000000000002e-001	1.528206e-006	1.236206e-003
3.060000000000002e-001	1.562472e-006	1.249989e-003
3.070000000000002e-001	1.597429e-006	1.263894e-003
3.080000000000002e-001	1.633088e-006	1.277923e-003
3.090000000000002e-001	1.669462e-006	1.292077e-003
3.100000000000002e-001	1.706564e-006	1.306355e-003
3.110000000000002e-001	1.744405e-006	1.320759e-003
3.120000000000002e-001	1.782998e-006	1.335289e-003
3.130000000000002e-001	1.822356e-006	1.349947e-003
3.140000000000002e-001	1.862491e-006	1.364731e-003
3.150000000000002e-001	1.903418e-006	1.379644e-003
3.160000000000002e-001	1.945149e-006	1.394686e-003
3.170000000000002e-001	1.987697e-006	1.409857e-003
3.180000000000002e-001	2.031076e-006	1.425158e-003
3.190000000000002e-001	2.075300e-006	1.440590e-003
3.200000000000002e-001	2.120382e-006	1.456153e-003
3.210000000000002e-001	2.166337e-006	1.471848e-003
3.220000000000002e-001	2.213179e-006	1.487676e-003
3.230000000000002e-001	2.260922e-006	1.503636e-003
3.240000000000002e-001	2.309579e-006	1.519730e-003
3.250000000000002e-001	2.359167e-006	1.535958e-003
3.260000000000002e-001	2.409700e-006	1.552321e-003
3.270000000000002e-001	2.461193e-006	1.568819e-003
3.280000000000002e-001	2.513660e-006	1.585453e-003
3.290000000000002e-001	2.567117e-006	1.602223e-003
3.300000000000002e-001	2.621580e-006	1.619129e-003
3.310000000000002e-001	2.677063e-006	1.636173e-003
3.320000000000002e-001	2.733583e-006	1.653355e-003
3.330000000000002e-001	2.791154e-006	1.670675e-003
3.340000000000002e-001	2.849794e-006	1.688133e-003
3.350000000000002e-001	2.909518e-006	1.705731e-003
3.360000000000002e-001	2.970342e-006	1.723468e-003
3.370000000000002e-001	3.032283e-006	1.741345e-003
3.380000000000002e-001	3.095357e-006	1.759363e-003
3.390000000000003e-001	3.159580e-006	1.777521e-003
3.400000000000003e-001	3.224970e-006	1.795820e-003
3.410000000000003e-001	3.291542e-006	1.814261e-003
3.420000000000003e-001	3.359314e-006	1.832843e-003
3.430000000000003e-001	3.428304e-006	1.851568e-003
3.440000000000003e-001	3.498528e-006	1.870435e-003
3.450000000000003e-001	3.570002e-006	1.889445e-003
3.460000000000003e-001	3.642746e-006	1.908598e-003
